정답은 있다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386454735,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">9.6</span>"
돈의 방정식,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383256009,"<span class=""ss_p2""><em>25,200원</em></span>","<span class=""star_score"">9.0</span>"
최소한의 삼국지,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377732124,"<span class=""ss_p2""><em>17,550원</em></span>","<span class=""star_score"">9.8</span>"
햄릿 (먼슬리 클래식),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387932122,"<span class=""ss_p2""><em>9,900원</em></span>","<span class=""star_score"">8.9</span>"
일본 광고 카피 도감,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383843383,"<span class=""ss_p2""><em>16,920원</em></span>","<span class=""star_score"">9.6</span>"
나의 완벽한 장례식,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383575374,"<span class=""ss_p2""><em>17,100원</em></span>","<span class=""star_score"">9.6</span>"
세종의 나라 1 (양장),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386006778,"<span class=""ss_p2""><em>19,800원</em></span>","<span class=""star_score"">9.2</span>"
"2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=378969617,"<span class=""ss_p2""><em>16,650원</em></span>",
슈퍼 뒤에서 담배 피우는 두 사람 7 (특별판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388083631,"<span class=""ss_p2""><em>18,000원</em></span>","<span class=""star_score"">10.0</span>"
"소유하기, 소유되기",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386946432,"<span class=""ss_p2""><em>19,800원</em></span>","<span class=""star_score"">9.5</span>"
해커스 토익 기출 VOCA (보카),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=176021392,"<span class=""ss_p2""><em>11,610원</em></span>","<span class=""star_score"">9.2</span>"
진보를 위한 주식투자,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379685661,"<span class=""ss_p2""><em>19,800원</em></span>","<span class=""star_score"">7.4</span>"
쥬디 할머니,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383333321,"<span class=""ss_p2""><em>16,650원</em></span>","<span class=""star_score"">10.0</span>"
엄마가 유령이 되었어!,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=83509745,"<span class=""ss_p2""><em>10,800원</em></span>","<span class=""star_score"">9.2</span>"
세종의 나라 2 (양장),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386006888,"<span class=""ss_p2""><em>19,800원</em></span>","<span class=""star_score"">6.0</span>"
생각의 도약,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=356276093,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">9.1</span>"
카구라바치 9 (더블특전판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388349614,"<span class=""ss_p2""><em>5,850원</em></span>",
자본주의 시대에서 살아남기 위한 최소한의 경제 공부,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379077056,"<span class=""ss_p2""><em>25,200원</em></span>","<span class=""star_score"">9.4</span>"
다있소 과학 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387305167,"<span class=""ss_p2""><em>13,050원</em></span>","<span class=""star_score"">9.9</span>"
일하면서 바로 써먹는 아웃풋×성과 도감,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385417366,"<span class=""ss_p2""><em>15,750원</em></span>","<span class=""star_score"">9.8</span>"
수영장에 토성이 떨어졌다고?,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386565484,"<span class=""ss_p2""><em>15,120원</em></span>","<span class=""star_score"">9.8</span>"
시간관리국,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387271734,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">10.0</span>"
코스모스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=870950,"<span class=""ss_p2""><em>19,800원</em></span>","<span class=""star_score"">9.4</span>"
마법천자문 70,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388352134,"<span class=""ss_p2""><em>14,310원</em></span>",
